ID	Year	Title	Valence
2006_1	2006	Bad Day	valence-score
2006_2	2006	Temperature	valence-score
2006_3	2006	Promiscuous	valence-score
2006_4	2006	You're Beautiful	valence-score
2006_5	2006	Hips Don't Lie	valence-score
2006_6	2006	Unwritten	valence-score
2006_7	2006	Crazy	valence-score
2006_8	2006	Ridin'	valence-score
2006_9	2006	SexyBack	valence-score
2006_10	2006	Check On It	valence-score
2006_11	2006	Be Without You	valence-score
2006_12	2006	Grillz	valence-score
2006_13	2006	Over My Head (Cable Car)	valence-score
2006_14	2006	Me & U	valence-score
2006_15	2006	Buttons	valence-score
2006_16	2006	Run It!	valence-score
2006_17	2006	So Sick	valence-score
2006_18	2006	It's Goin' Down	valence-score
2006_19	2006	SOS	valence-score
2006_20	2006	I Write Sins Not Tragedies	valence-score
2006_21	2006	Move Along	valence-score
2006_22	2006	London Bridge	valence-score
2006_23	2006	Dani California	valence-score
2006_24	2006	Snap Yo Fingers	valence-score
2006_25	2006	Lean Wit It, Rock Wit It	valence-score
2006_26	2006	What Hurts The Most	valence-score
2006_27	2006	How To Save A Life	valence-score
2006_28	2006	Unfaithful	valence-score
2006_29	2006	Chasing Cars	valence-score
2006_30	2006	Lips Of An Angel	valence-score
2006_31	2006	Everytime We Touch	valence-score
2006_32	2006	Ain't No Other Man	valence-score
2006_33	2006	Dance, Dance	valence-score
2006_34	2006	Gold Digger	valence-score
2006_35	2006	Money Maker	valence-score
2006_36	2006	Ms. New Booty	valence-score
2006_37	2006	(When You Gonna) Give It Up To Me	valence-score
2006_38	2006	Photograph	valence-score
2006_39	2006	Because Of You	valence-score
2006_40	2006	Stickwitu	valence-score
2006_41	2006	I'm N Luv (Wit A Stripper)	valence-score
2006_42	2006	My Humps	valence-score
2006_43	2006	Where'd You Go	valence-score
2006_44	2006	Yo (Excuse Me Miss)	valence-score
2006_45	2006	Walk Away	valence-score
2006_46	2006	Laffy Taffy	valence-score
2006_47	2006	What You Know	valence-score
2006_48	2006	Dirty Little Secret	valence-score
2006_49	2006	Savin' Me	valence-score
2006_50	2006	Don't Forget About Us	valence-score
2006_51	2006	Sexy Love	valence-score
2006_52	2006	U And Dat	valence-score
2006_53	2006	Far Away	valence-score
2006_54	2006	What's Left Of Me	valence-score
2006_55	2006	So What	valence-score
2006_56	2006	Do It To It	valence-score
2006_57	2006	Black Horse & The Cherry Tree	valence-score
2006_58	2006	There It Go! (The Whistle Song)	valence-score
2006_59	2006	Shoulder Lean	valence-score
2006_60	2006	Unpredictable	valence-score
2006_61	2006	My Love	valence-score
2006_62	2006	Shake That	valence-score
2006_63	2006	Pullin' Me Back	valence-score
2006_64	2006	Bossy	valence-score
2006_65	2006	Chain Hang Low	valence-score
2006_66	2006	Smack That	valence-score
2006_67	2006	One Wish	valence-score
2006_68	2006	Sugar, We're Goin' Down	valence-score
2006_69	2006	Gimme That	valence-score
2006_70	2006	I Know You See It	valence-score
2006_71	2006	Who Says You Can't Go Home	valence-score
2006_72	2006	Too Little Too Late	valence-score
2006_73	2006	Touch It	valence-score
2006_74	2006	Rompe	valence-score
2006_75	2006	Deja Vu	valence-score
2006_76	2006	Life Is A Highway	valence-score
2006_77	2006	Call Me When You're Sober	valence-score
2006_78	2006	Jesus, Take The Wheel	valence-score
2006_79	2006	Show Stopper	valence-score
2006_80	2006	Get Up	valence-score
2006_81	2006	We Be Burnin'	valence-score
2006_82	2006	Hate Me	valence-score
2006_83	2006	You And Me	valence-score
2006_84	2006	Beep	valence-score
2006_85	2006	I Think They Like Me	valence-score
2006_86	2006	Say Goodbye	valence-score
2006_87	2006	Waiting On The World To Change	valence-score
2006_88	2006	Soul Survivor	valence-score
2006_89	2006	Pump It	valence-score
2006_90	2006	When I'm Gone	valence-score
2006_91	2006	Hung Up	valence-score
2006_92	2006	Stay Fly	valence-score
2006_93	2006	Love	valence-score
2006_94	2006	When You're Mad	valence-score
2006_95	2006	Why You Wanna	valence-score
2006_96	2006	Stupid Girls	valence-score
2006_97	2006	Feel Good Inc	valence-score
2006_98	2006	I'm Sprung	valence-score
